,x
422,2.2867684501560555
423,1.5157647309084363
424,2.7105197487546056
425,2.0020734992571176
426,2.346099662888414
427,2.1426752064431196
428,-0.02889183225429326
429,0.7870668318413698
430,0.1741412512424947
431,0.8810335122027497
432,0.08858561878337712
433,1.5372799548930134
434,1.039320368775378
435,-0.03062133831786018
436,0.5326736774893639
437,0.3928590224941132
438,0.9172380338733909
439,-0.3342992042446695
440,-0.30369813760699904
441,0.1739218518385702
442,-1.701819894721535
443,-1.0201808083201098
444,-0.9517016582563679
445,0.08972195418100237
446,-0.5678805708047242
447,-1.0795430010039744
448,-2.9061234392495185
449,-1.7478414211711786
450,-2.3900306330259715
451,-1.9236387409075115
452,-2.0443508270829147
453,-3.3975970571772276
454,-1.5481819694744907
455,-3.335969664495738
456,-2.4288951745867267
457,-2.6816184158586425
458,-2.6385018608387947
459,-3.435136673968879
460,-2.9641350532356956
461,-2.885213719416498
462,-3.0011314711714285
463,-3.7151485193058624
464,-3.6364953094545687
465,-4.070177743848845
466,-3.985952424568204
467,-3.2660685071205346
468,-3.984585120305712
469,-3.896905760088589
470,-4.439206280662567
471,-4.805343133707561
472,-4.892599416914585
473,-5.3664869409257845
474,-5.1532636732195725
475,-4.149090213567829
476,-5.9613067253645795
477,-5.018699459832545
478,-4.894514751593001
479,-4.188463832305212
480,-6.4317520418359955
481,-6.542022372793926
482,-5.903401649865317
483,-6.222713327481964
484,-5.194110864564629
485,-6.167421549897913
486,-4.246173265887439
487,-5.9578454501483575
488,-7.185752185345457
489,-7.7158922924645665
490,-5.5695093964129985
491,-6.708776187711636
492,-7.959474873245995
493,-7.733804008863767
494,-7.258597704703437
495,-8.537180298209124
496,-6.157307523544008
497,-9.172545584973427
498,-7.9048091660004
499,-7.156662403881415
500,-7.69715805236718
501,-8.289948623930059
502,-8.858698596917584
503,-9.957996164538933
504,-8.41019710766899
505,-8.952172580875539
506,-9.444565751615047
507,-7.891816492032445
508,-8.498637717890738
509,-9.06646022911061
510,-11.058287571525085
511,-9.734685127871815
512,-10.161773884896338
513,-11.3800136391931
514,-10.909183432214222
515,-11.493053956276965
516,-10.434509103214848
517,-9.792339900838096
518,-10.477527703491239
519,-11.143857515723283
520,-11.90113832216398
521,-11.967521502934384
522,-11.953635789024373
523,-12.50406326255518
524,-11.580868849771278
525,-12.669422290182977
526,-12.20860171191751
527,-13.233121741147107
528,-11.72545843032896
529,-12.282839777792276
530,-12.38922375288964
531,-12.003881004546681
532,-15.468508504607176
