,y
528,-12.916023078809523
529,-12.607126218707483
530,-14.237505977993198
531,-14.252116185782313
532,-13.264098716768707
533,-12.159882214727892
534,-12.427266828469389
535,-12.629004866360544
536,-12.163096020986394
537,-12.125305075782313
538,-12.410060141938775
539,-12.83562667877551
540,-13.042309147108844
541,-11.919769148605441
542,-11.936852647517007
543,-12.811167990442177
544,-11.81230052479592
545,-11.628068924965987
546,-11.529435097380953
547,-10.92959434867347
548,-10.338391197346938
549,-10.747577630238094
550,-11.287533500782313
551,-10.618061934863945
552,-9.609278707333333
553,-10.76834862292517
554,-11.626862213707483
555,-10.846294231666667
556,-10.794715715170069
557,-10.327703622619048
558,-10.483439704632653
559,-10.266623580187076
560,-8.740066387982994
561,-9.93062627767347
562,-10.220145819642857
563,-9.7693585647517
564,-9.186633389506802
565,-8.564965565231294
566,-9.489893322391158
567,-9.210998903129253
568,-8.68966589572449
569,-8.804528307809523
570,-8.778256286945577
571,-8.307036078044218
572,-7.954624712768708
573,-8.226518042717688
574,-8.370341619275509
575,-7.650802662234694
576,-8.051271811768707
577,-7.377468693455783
578,-7.089505260918367
579,-7.794093575887755
580,-7.140375464486395
581,-6.869260990142857
582,-6.994465476068028
583,-6.725107108914966
584,-6.709499960095239
585,-6.427063768401361
586,-6.22767833519728
587,-6.507291528346939
588,-6.525420390285714
589,-5.927909958363946
590,-6.110077367612246
591,-5.7355337480646265
592,-6.078189808163266
593,-5.440829704687075
594,-4.481527974261905
595,-4.97881225232313
596,-4.286641314615646
597,-3.581783465632653
598,-2.5281015464795913
599,-3.340766463302721
600,-4.064539981676871
601,-3.295314175384354
602,-3.7274961239897957
603,-4.762828067772109
604,-3.3187166582312924
605,-2.682441280931973
606,-2.982883966197279
607,-2.8600823852551023
608,-2.5513019331258504
609,-3.5642734308469386
610,-3.988183923452381
611,-3.4274270838129253
612,-1.922194499452381
613,-1.61404232085034
614,-2.05607116555102
615,-2.589250091377551
616,-2.531908699554422
617,-1.968704754568027
618,-1.950047704952381
619,-1.3155216534081633
620,-1.6322307488265306
621,-1.2584993152108843
622,-0.42891834781292515
623,-0.26492004004761904
624,-0.5678179514217687
625,-0.32204592215986394
626,-0.043698423622448856
627,-0.506960207472789
628,-0.02405346754421772
629,0.8500973468809524
630,1.0240882688129251
631,1.2519240989081633
632,1.0522187172380952
633,0.8211050008741496
634,0.9808130054693878
635,0.8592462140612245
636,0.7125198903231292
637,1.3143810174761905
638,1.8972780106462588
639,1.28103618229932
640,1.3354162032312926
641,2.2897747259523813
642,2.127237125510204
643,2.2130586303435376
644,2.2453298327312927
645,2.333369356085034
646,1.984887215935374
647,2.544401395785714
648,3.7855256639285715
649,3.623000955585034
650,2.9627553144285717
651,2.794360890884354
652,3.744052061659864
